Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.3660360021812875,0.2217062278650701,0.8940101387406617,0.9451121794871795,7.657914638519287
1,0.1566730249661201,0.13076329519017002,0.955042689434365,0.9663461538461539,7.80557656288147
2,0.09661207309245204,0.10077058503856488,0.9719683831376734,0.977363782051282,7.576881647109985
3,0.06790668848432847,0.09822939085633828,0.9811399413020278,0.9768629807692307,7.811774730682373
4,0.05173938188119419,0.09117023894997636,0.9855756403415155,0.9795673076923077,7.795498847961426
5,0.03817563279325156,0.0821009410033301,0.9897945570971185,0.9803685897435898,7.906523704528809
6,0.028687793079151383,0.10136850267269601,0.9925793756670224,0.9760616987179487,7.647848606109619
7,0.02502525203706987,0.08982492479359887,0.9931129935965849,0.9795673076923077,7.613133192062378
8,0.019396393765556737,0.08291138350075646,0.995397545357524,0.9814703525641025,7.535487174987793
9,0.016685000334216805,0.10112277453511827,0.9959645144076841,0.9768629807692307,7.62262225151062
Mean,,,,,7.697326135635376
Params: 304896,,,,,
---,---,---,---,---,---
0,0.39083766823549027,0.22203892172696307,0.8912086446104589,0.9442107371794872,7.500344276428223
1,0.18576012088210503,0.14914515589883265,0.9470050693703308,0.9641426282051282,7.58307957649231
2,0.12547955458254226,0.1259895393368191,0.9646144610458911,0.9691506410256411,7.926590442657471
3,0.09475192100926837,0.10591276990658699,0.9736859658484525,0.9741586538461539,7.489765882492065
4,0.07463119520727254,0.09751130894978698,0.9787720117395945,0.9764623397435898,7.760968208312988
5,0.058642290203346055,0.08697403971783411,0.9838247065101388,0.9791666666666666,7.834807634353638
6,0.049156238751092346,0.08421218718770736,0.9865761739594451,0.9803685897435898,7.605319976806641
7,0.03881398708934288,0.08371907586320632,0.9895110725720384,0.9797676282051282,7.4847047328948975
8,0.03226481119399143,0.09587891880484023,0.9913620597652081,0.9790665064102564,7.4976115226745605
9,0.026155506818542375,0.0868928597454401,0.9934131536819637,0.9818709935897436,7.4561989307403564
Mean,,,,,7.613939118385315
Params: 152448,,,,,
---,---,---,---,---,---
0,0.5849672658736703,0.3159463374803846,0.8322105122732124,0.9172676282051282,7.55875301361084
1,0.29740945239458927,0.27674048512171096,0.91448772678762,0.9275841346153846,7.58676815032959
2,0.2585665464735209,0.2507828349987857,0.9273946104589115,0.9347956730769231,7.726278066635132
3,0.23798873187654046,0.2384426292294684,0.9328641942369263,0.9380008012820513,7.48581862449646
4,0.22176033993556762,0.22878829210113066,0.9368996798292423,0.9427083333333334,7.714324235916138
5,0.21116504497754535,0.22987609670664638,0.9404182230522946,0.942207532051282,7.560950040817261
6,0.20217353563950563,0.23379144688638356,0.9423692636072573,0.9394030448717948,7.603998422622681
7,0.19351777066988524,0.22940585042875355,0.9452374599786553,0.9419070512820513,7.462047815322876
8,0.18698301357530225,0.2243759186210063,0.9469550426894343,0.9438100961538461,7.54817008972168
9,0.18105713306084323,0.22438221762422472,0.948906083244397,0.9426081730769231,7.637143611907959
Mean,,,,,7.588425207138061
Params: 23820,,,,,
---,---,---,---,---,---
0,0.9099160550816209,0.5349898313482603,0.7312733457844184,0.8586738782051282,7.657243251800537
1,0.4738418427291013,0.4299461986296452,0.8693636606189968,0.8861177884615384,7.558871030807495
2,0.40004988536318187,0.382516236951909,0.8884238260405549,0.8989383012820513,7.631497144699097
3,0.36511231355345236,0.36951799934300095,0.8968616595517609,0.9021434294871795,7.737601041793823
4,0.34435724740571627,0.3544564485215606,0.9019477054429029,0.9097556089743589,7.699840068817139
5,0.32852730611408787,0.3447774993494535,0.906633537886873,0.909354967948718,8.053779602050781
6,0.3188222515274519,0.34157249844895726,0.9072338580576307,0.9116586538461539,7.829965829849243
7,0.30869983966793296,0.3305930677944651,0.911235992529349,0.9140625,7.685068130493164
8,0.302441007768777,0.34791624984250236,0.9122865528281751,0.9078525641025641,7.471203804016113
9,0.2946119299884031,0.3195429958689671,0.9141875667022412,0.9159655448717948,7.947328567504883
Mean,,,,,7.7272398471832275
Params: 11910,,,,,
---,---,---,---,---,---
0,0.6376695965944512,0.32652364024080527,0.8126834311632871,0.9110576923076923,8.494416236877441
1,0.30442005485741536,0.27315844671848494,0.9117696104589115,0.9258814102564102,8.452918529510498
2,0.2564468107632537,0.2450258513637938,0.9256436766275347,0.9353966346153846,8.788309574127197
3,0.226685865636092,0.232550118285685,0.9348986125933831,0.9388020833333334,8.837653398513794
4,0.20587076865764795,0.22457210655706242,0.9402681430096052,0.9395032051282052,8.605803966522217
5,0.1903050822805188,0.21964346064039722,0.9451207310565635,0.9412059294871795,8.623855590820312
6,0.17858488216057913,0.2199487373447762,0.9481556830309499,0.9419070512820513,8.570906162261963
7,0.16800995917917252,0.20246914891191783,0.9517742796157951,0.9483173076923077,8.58919644355774
8,0.15958954704967163,0.19908027263740316,0.9539754535752402,0.9479166666666666,8.668810844421387
9,0.15256550679084713,0.1959852747237071,0.955909818569904,0.9493189102564102,8.93148922920227
Mean,,,,,8.656335997581483
Params: 24120,,,,,
---,---,---,---,---,---
0,1.0473665214335524,0.6462998944215286,0.6571671558164355,0.8074919871794872,8.6440908908844
1,0.5607810030465701,0.5111985084338065,0.8368129669156884,0.8566706730769231,8.564391136169434
