Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.3605796561686753,0.20982276087101454,0.8958778014941302,0.944511217948718,7.441976308822632
1,0.15777302209363422,0.1309930013719564,0.9550927161152615,0.9685496794871795,7.466564178466797
2,0.10018564541322222,0.10525636697107424,0.9715014674493063,0.973457532051282,7.415353536605835
3,0.07090727676584792,0.09345352223653418,0.9797892209178228,0.9770633012820513,7.403792142868042
4,0.05062897487547499,0.09588837334740674,0.9862760138740662,0.9770633012820513,7.414967060089111
5,0.038257461881837554,0.07900571308765883,0.9898946104589115,0.9822716346153846,7.705229043960571
6,0.02863586738704641,0.08868001085498597,0.9923792689434365,0.9797676282051282,7.446218252182007
7,0.021129419113208193,0.08435375791943955,0.9946971718249733,0.9815705128205128,7.45886754989624
8,0.016022496953285562,0.08757192119145867,0.9964147545357525,0.9823717948717948,7.412276744842529
9,0.012670988621685421,0.11464863771764683,0.9973319103521878,0.9766626602564102,7.407719850540161
Mean,,,,,7.457296466827392
Params: 508160,,,,,
---,---,---,---,---,---
0,0.39367150184534405,0.216534729127605,0.8880069370330843,0.9438100961538461,7.44420599937439
1,0.17989243213743322,0.14118594758940908,0.9490561632870864,0.9651442307692307,7.531887054443359
2,0.1190548466792849,0.12946876203969646,0.9663653948772679,0.9692508012820513,7.457229137420654
3,0.08756322222001445,0.10126996544810633,0.9750366862326574,0.9755608974358975,7.47869348526001
4,0.0655229462155617,0.10241994865758058,0.9820737726787621,0.9751602564102564,7.438183546066284
5,0.05147250582167845,0.10207576971263804,0.9854589114194237,0.9755608974358975,7.581747531890869
6,0.03990205555206031,0.10559086068884099,0.9893443169690501,0.9754607371794872,7.526453495025635
7,0.031296998392611644,0.09244146702892464,0.9920124066168623,0.9789663461538461,7.442328691482544
8,0.023559008859790734,0.11091827958574495,0.9944803895410885,0.9766626602564102,7.44549822807312
9,0.018501414732101575,0.11624872013880332,0.9961479455709712,0.9742588141025641,7.4318156242370605
Mean,,,,,7.477804279327392
Params: 254080,,,,,
---,---,---,---,---,---
0,0.540810015724461,0.2961091387252777,0.8498365795090715,0.9211738782051282,7.557049512863159
