Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.3861739829643813,0.23318446797724718,0.8893076307363927,0.9354967948717948,6.911319017410278
1,0.20131075499517687,0.15082793244763684,0.9420190768409819,0.9615384615384616,6.487074375152588
2,0.1452930886298418,0.1250445976993666,0.9574606456776947,0.9692508012820513,6.498882055282593
3,0.11851345405992411,0.10972762789774257,0.9656316702241196,0.9733573717948718,6.4269020557403564
4,0.0999637763080532,0.10897327399587271,0.9707343916755603,0.9748597756410257,6.3459062576293945
5,0.08631130487418544,0.10908281532353542,0.9741528815368197,0.9744591346153846,6.5145487785339355
6,0.07875630628365304,0.1063750944531654,0.9766875667022412,0.9755608974358975,6.601193904876709
7,0.07189029156903289,0.11533061208599694,0.9780716382070438,0.9711538461538461,6.4062583446502686
8,0.06799491587802649,0.09611649771324711,0.979489060832444,0.9787660256410257,6.271527528762817
9,0.059848326749119635,0.09454758681759137,0.9814567769477054,0.9770633012820513,6.657874822616577
Mean,,,,,6.512148714065551
Params: 101770,,,,,
---,---,---,---,---,---
0,0.42679218722859213,0.26340726096756184,0.8781683564567769,0.9281850961538461,6.762276649475098
1,0.2432815301149543,0.19194360479760247,0.929162219850587,0.9495192307692307,6.314480543136597
2,0.1899684574097204,0.16000873907708013,0.9445370864461046,0.9595352564102564,6.3826704025268555
3,0.16006628262712008,0.15320163508518958,0.9534251600853789,0.9604366987179487,6.445324659347534
4,0.13489940667300304,0.13136908077360251,0.9608457844183564,0.9655448717948718,6.571429967880249
5,0.12112398679082936,0.12135791481705382,0.9647978922091782,0.9691506410256411,6.447296380996704
6,0.11023243867644092,0.11272308766694131,0.9676160618996799,0.9740584935897436,6.404372692108154
7,0.1027665528445927,0.1306993729354312,0.9700173425827108,0.9668469551282052,6.510003566741943
8,0.09469536647474912,0.10247381789779936,0.9727021077908218,0.9758613782051282,6.323934555053711
9,0.08926214122043459,0.11446850731198747,0.9734024813233725,0.9733573717948718,6.252185344696045
Mean,,,,,6.441397476196289
Params: 50890,,,,,
---,---,---,---,---,---
0,0.6991775607413899,0.4223534371703863,0.7920390875133404,0.8783052884615384,6.514135122299194
1,0.39407033092375116,0.3683725632965947,0.8848052294557097,0.8975360576923077,6.5925962924957275
2,0.35264565138068754,0.3467813285593039,0.8989794557097118,0.9046474358974359,6.653558969497681
3,0.3367543351004574,0.33544668574363756,0.9032483991462114,0.9104567307692307,6.310892820358276
4,0.3258501878415762,0.32496517489497095,0.9070671024546425,0.9143629807692307,6.397429466247559
5,0.3160993703496876,0.3106636666836074,0.9100020010672358,0.9136618589743589,6.591519832611084
6,0.3082859651319754,0.31188173754475057,0.912670090715048,0.9121594551282052,6.669783592224121
7,0.30170521990911936,0.30500820164497083,0.91363727321238,0.9130608974358975,6.594400882720947
8,0.2965938050613968,0.2980476416623554,0.9160385538954109,0.9160657051282052,6.3700432777404785
9,0.28991191076430844,0.31266234889148903,0.9175226787620064,0.9100560897435898,6.308470726013184
Mean,,,,,6.500283098220825
Params: 7960,,,,,
---,---,---,---,---,---
0,1.9761646447848358,1.865772280937586,0.20599319637139807,0.24358974358974358,6.617379903793335
1,1.7999905018312827,1.7704742375092628,0.2544356990394877,0.2714342948717949,6.427856683731079
2,1.7353357823452293,1.7267204072230902,0.27878201707577377,0.28595753205128205,6.303399085998535
3,1.7015428671587494,1.7012721437674303,0.2891708911419424,0.2978766025641026,6.392965793609619
4,1.6797331716614827,1.689417764926568,0.29744196905016007,0.30689102564102566,6.31013822555542
5,1.663173112823462,1.6673603103711054,0.3383471184631804,0.36147836538461536,6.494370460510254
6,1.633110216613004,1.6388193766276042,0.3668790021344717,0.3607772435897436,6.366863012313843
7,1.6116467945858153,1.6354451882533538,0.3683131003201708,0.36117788461538464,6.429963827133179
8,1.6002672867434002,1.6143566156044984,0.3679462379935966,0.36268028846153844,6.2822911739349365
9,1.5921570379426155,1.6090399194986393,0.3682797491995731,0.3719951923076923,6.44030499458313
Mean,,,,,6.406553316116333
Params: 3985,,,,,
---,---,---,---,---,---
0,1.100973374783802,0.6648801403741041,0.6185298826040555,0.7932692307692307,6.523116827011108
1,0.6117021241399242,0.5477189221061193,0.8117495997865528,0.8376402243589743,6.400008916854858
2,0.5392186130728004,0.5081048806030781,0.8414987993596584,0.8549679487179487,6.493767738342285
3,0.5037794507236847,0.4840281811566689,0.8533884738527214,0.8643830128205128,6.4225428104400635
4,0.4845598404600882,0.4725483155880983,0.8599586446104589,0.8661858974358975,6.42895245552063
5,0.4723879859694295,0.466118512627406,0.8638106990394877,0.8659855769230769,6.485792398452759
