Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time,,
0,0.361483027556217,0.193483711115849,0.897812166488794,0.948417467948718,7.78671264648438,,"28*28, 128, 10"
1,0.152004781341142,0.119290159165991,0.956610192102455,0.970452724358974,7.63234543800354,,
2,0.0939746451193393,0.0921227247006475,0.973135672358591,0.978665865384615,7.45042157173157,,
3,0.0662742526943347,0.0777582283357893,0.981156616862327,0.981870993589744,7.44823980331421,,
4,0.0492634709175028,0.0869706795988933,0.986592849519744,0.977864583333333,7.48423218727112,,
5,0.0389006014286144,0.0877356913943703,0.989611125933831,0.979667467948718,7.51356482505798,,
6,0.0294946790471566,0.0743787928962168,0.992412620064034,0.982872596153846,7.47954654693604,,
7,0.0251091362081275,0.0733795288207171,0.993596584845251,0.983173076923077,7.43803119659424,,
8,0.0197182196047576,0.0779080287906347,0.995047358591249,0.982972756410256,7.72085046768189,,
9,0.0196608157896535,0.0900951772185717,0.99459711846318,0.981270032051282,7.50358176231384,,
Mean,,,,,7.54575264453888,,
Params: 304896,,,,,,,
---,---,---,---,---,---,,
0,0.399737673975615,0.236551170511983,0.887439967982924,0.939002403846154,7.6637966632843,,"28*28, 64, 10"
1,0.190217233995491,0.150719460083518,0.946905016008538,0.958733974358974,7.34252047538757,,
2,0.127282549471077,0.120448398399346,0.963680629669157,0.970252403846154,7.47413182258606,,
3,0.0948817483502318,0.0993755130718152,0.973052294557097,0.975060096153846,7.44421887397766,,
4,0.0731210612295356,0.0942492214287482,0.978905416221985,0.977864583333333,7.39651393890381,,
5,0.0588822978401602,0.093822914992089,0.983474519743863,0.97676282051282,7.64630436897278,,
6,0.0468197163269461,0.0906888484104666,0.987459978655283,0.978866185897436,7.51128911972046,,
7,0.0370816095337558,0.0907968910080224,0.990328175026681,0.977764423076923,7.38122200965881,,
8,0.0306022489533373,0.0854446231347444,0.992112459978655,0.980068108974359,8.07162499427795,,
9,0.0263697177134683,0.0867491054741549,0.992946237993597,0.979667467948718,7.92140960693359,,
Mean,,,,,7.5853031873703,,
Params: 152448,,,,,,,
---,---,---,---,---,---,,
0,0.561312341432434,0.316861233232209,0.841682230522946,0.916766826923077,7.51088333129883,,"28*28, 10, 10"
1,0.294400281854284,0.270880953259527,0.916922358591249,0.925380608974359,7.56380319595337,,
2,0.256582222882909,0.261095095342264,0.927594717182497,0.933293269230769,7.74109101295471,,
3,0.233190560631907,0.239040783182598,0.934981990394877,0.938401442307692,7.77225279808044,,
4,0.216708644330024,0.225636532106317,0.939384338313767,0.943309294871795,7.69656133651733,,
5,0.203076717363255,0.221962923646713,0.942802828175027,0.94160657051282,7.65550041198731,,
6,0.192480864545992,0.225257327684607,0.945854455709712,0.944010416666667,7.56221890449524,,
7,0.184543415144674,0.220871557424872,0.948172358591249,0.945012019230769,7.78223085403442,,
8,0.17738113517544,0.209932369254649,0.950106723585913,0.94911858974359,7.58248472213745,,
9,0.170917347033797,0.212782860632078,0.952024413020278,0.948317307692308,7.84673857688904,,
Mean,,,,,7.67137651443481,,
Params: 23820,,,,,,,
---,---,---,---,---,---,,
0,0.931298686575101,0.58168363571167,0.715598319103522,0.836438301282051,7.90208315849304,,"28*28, 5, 10"
1,0.507333518569472,0.467825041654018,0.854705843116329,0.867888621794872,7.50218915939331,,
2,0.429355984293282,0.421726203499696,0.878668623265742,0.8828125,7.57370495796204,,
3,0.390881547773915,0.38965159193732,0.889324306296692,0.895432692307692,7.66049480438232,,
4,0.369181569033524,0.376809134219701,0.895260805763074,0.901642628205128,7.46306109428406,,
5,0.352876625366692,0.386342715042142,0.899913287086446,0.891526442307692,7.59813070297241,,
6,0.338871508630007,0.363096726174729,0.904165554962647,0.899439102564103,7.78224039077759,,
7,0.329985818174631,0.355659373510533,0.90553295090715,0.902644230769231,7.72572088241577,,
8,0.322619788285063,0.349849282620618,0.907850853788687,0.907752403846154,7.66068053245544,,
9,0.315025033037652,0.342645351261569,0.910235458911419,0.911358173076923,7.55167150497437,,
Mean,,,,,7.64199771881104,,
Params: 11910,,,,,,,
---,---,---,---,---,---,,
0,0.66148035439763,0.358212049357975,0.804095517609392,0.905248397435897,8.53632616996765,,"28*28, 10, 10, 10"
1,0.32283331020442,0.281264851992138,0.908617929562433,0.927483974358974,8.64306950569153,,
