Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time,,
0,0.465059544584985,0.226820891323046,0.870114060832444,0.940104166666667,8.56833720207214,,"14*14, 128, 10"
1,0.189461452852668,0.155982670372722,0.944620464247599,0.959334935897436,8.75830340385437,,
2,0.125420396821524,0.113333288671222,0.964280949839915,0.973157051282051,8.62086391448975,,
3,0.0927808223035795,0.0894200002650718,0.973385805763074,0.977664262820513,8.49446964263916,,
4,0.071754285304836,0.0826703887473857,0.979705843116329,0.979366987179487,8.70229315757751,,
5,0.0575011718735942,0.0800045812342059,0.984224919957311,0.981169871794872,8.92071580886841,,
6,0.0467678168115157,0.0685883362280154,0.986742929562433,0.98427483974359,9.14026594161987,,
7,0.0380468415372221,0.0691922213779598,0.989744530416222,0.983573717948718,8.85578083992004,,
8,0.0306801510433813,0.0706797998000417,0.992012406616862,0.984975961538462,8.92952680587769,,
9,0.025730163068933,0.067318866532309,0.993930096051227,0.986077724358974,9.15555667877197,,
Mean,,,,,8.81461133956909,,
Params: 79104,,,,,,,
---,---,---,---,---,---,,
0,0.505428033520089,0.240402015570838,0.858758004268943,0.93739983974359,8.60644602775574,,"14*14, 64, 10"
1,0.208603802891478,0.171670745595549,0.939050827107791,0.956330128205128,8.67376351356506,,
2,0.152334675292227,0.136564084809297,0.954942636072572,0.967347756410256,8.79698204994202,,
3,0.119154373159992,0.114134511371585,0.965598319103522,0.97265625,8.50905275344849,,
4,0.0977972239890039,0.100875942994697,0.971318036286019,0.976862980769231,8.728835105896,,
5,0.0819526858937906,0.0952094758723456,0.976437433297759,0.978064903846154,8.83069634437561,,
6,0.0701737846700095,0.0862013683826006,0.980089381003202,0.979467147435897,8.74605822563171,,
7,0.0611112689998959,0.0875240315814526,0.982824172892209,0.979366987179487,9.17110896110535,,
8,0.0525960826927253,0.0866801533183883,0.985825773745998,0.981069711538462,9.07537913322449,,
9,0.0470379248058688,0.0833980792186384,0.987276547491996,0.98036858974359,8.61708235740662,,
Mean,,,,,8.77554044723511,,
Params: 39552,,,,,,,
---,---,---,---,---,---,,
0,0.751410954233295,0.329516666726424,0.783167689434365,0.911057692307692,9.02674269676209,,"14*14, 10, 10"
1,0.291377071489996,0.264322210867435,0.917606056563501,0.928786057692308,8.70339560508728,,
