Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.5975128173223809,0.35070101716197455,0.8286419423692636,0.9032451923076923,6.926465034484863
1,0.34904183878333744,0.31248729550637877,0.9004635805763074,0.9168669871794872,6.527138948440552
2,0.3225832031035881,0.3006869793917315,0.9080176093916755,0.921875,6.623150587081909
3,0.31051666956701046,0.28906182548365533,0.9127034418356457,0.9238782051282052,6.408855199813843
4,0.300659472248025,0.30402767394358915,0.9153715314834578,0.9200721153846154,6.486111402511597
5,0.29375863365487076,0.2954373315740854,0.9166388740661686,0.9197716346153846,6.522119045257568
6,0.2881525306303448,0.2745025793914325,0.9177728121664888,0.9299879807692307,6.515484571456909
7,0.28060338625897085,0.28001453560323286,0.9199239594450374,0.9247796474358975,6.361857652664185
8,0.2768317157265471,0.28304299967100793,0.9219917289220918,0.924979967948718,6.72763204574585
9,0.273595671468636,0.2825879108112974,0.9216915688367129,0.9220753205128205,6.513068437576294
Mean,,,,,6.561188292503357
Params: 11935,,,,,
---,---,---,---,---,---
